No,Nama pemilik,Nama Toko,Produk,Nama akun pembeli,Profil gambar akun,Deteksi Akun,Review /Komentar,Rating bintang,Sentimen,Source,Data_Review,Month,YEAR,LINK,,,,,,,,,,,,,,,,,,,,
398,,,,,,,"sngt kecewa..,brng gk sesui foto,gambr gk jernih..,andai sja bsa di kemblikan...,saya di ptong 100rb gpp...",,NEGATIF,LAZADA,15/08/2020,August,2020,,,,,,,,,,,,,,,,,,,,,
399,,,,,,,w ga nyaranin kalian tuk bli barang ini. cukup w jah yg kecewa,,NEGATIF,LAZADA,28/08/2020,August,2020,,,,,,,,,,,,,,,,,,,,,
400,,,,,,,barang sewaktu di charge plugged in tapi tidak mengisi,,NEGATIF,LAZADA,19/12/2020,December,2020,,,,,,,,,,,,,,,,,,,,,
401,,,,,,,"lhaaa,,, saya berulang kali mesen dengan alamat yang sama, kok yg ini malah gagal sampai? pasti salah di si pengirim ni, karna saya input alamat saya selengkaplengkapnya. yasudahlah",,NEGATIF,LAZADA,17/10/2020,October,2020,,,,,,,,,,,,,,,,,,,,,
402,,,,,,,"ini barang kw, ga bisa nyimpen app, ga bisa pindahin app dari device k sd card nya, rugi mahal tapi kw...",,NEGATIF,LAZADA,04/12/2020,December,2020,,,,,,,,,,,,,,,,,,,,,
403,,,,,,,pengantaran sangat cepat kemarin sore pesan har inii datang. tp kecewa krn real kapasitas nya cuma 29.71GB,,NEGATIF,LAZADA,25/10/2020,October,2020,,,,,,,,,,,,,,,,,,,,,
404,,,,,,,USB 8GB ini ga bisa di pakai,,NEGATIF,LAZADA,17/12/2020,December,2020,,,,,,,,,,,,,,,,,,,,,
405,,,,,,,edisi salah baca...saya kira 64 gb ternyata 64 mb....sangat kecewa,,NEGATIF,LAZADA,28/10/2020,October,2020,,,,,,,,,,,,,,,,,,,,,
406,,,,,,,"Hati2 belanja di lazada kalau barang kurang ga bisa dikomplain karena g ada cara untuk kembalikan dana, adanya barang rusak/ atau kembalikan barang,untuk komplain barang kurang tidak ada pilihannya, kemudian sudah lapor cs live chat tidak membantu, hanya bilang diurus saja, sampai saat ini komplain barang yang kurang 1 tidak ada tindak lanjutnya sama sekali, sudah beberapa live chat saya tanya ,selalu sama jawabanya dibantu2 dan begitu, order no #3232845112, barang kurang 1 , dana belum di refund, terpaksa saya tulis disini ,mohon maaf yaa",,NEGATIF,LAZADA,15/09/2020,September,2020,,,,,,,,,,,,,,,,,,,,,
407,,,,,,,Kondisi Barang Rusak tidak dapat di pakai.. Mengecewakan ini bukan Ori.,,NEGATIF,LAZADA,03/10/2020,October,2020,,,,,,,,,,,,,,,,,,,,,
408,,,,,,,mudah rusak,,NEGATIF,LAZADA,04/11/2020,November,2020,,,,,,,,,,,,,,,,,,,,,
409,,,,,,,barang tidak ori,,NEGATIF,LAZADA,07/11/2020,November,2020,,,,,,,,,,,,,,,,,,,,,
410,,,,,,,Pesenan sy sudah seminggu kenapa belum nyampe ya...nyasar dmn ini.sudah tidak sabar pengen lihat barangny..kalo bagus sch gpp.sudah lama dan barang gk ok..kan tambah kecewa gan,,NEGATIF,LAZADA,01/09/2020,September,2020,,,,,,,,,,,,,,,,,,,,,
411,,,,,,,tidak sesuai gambar dan deskripsi,,NEGATIF,LAZADA,22/09/2020,September,2020,,,,,,,,,,,,,,,,,,,,,
412,,,,,,,"Beli 2, baru 1 yg saya coba... ternyata nyimpan file gak semuanya ke copy dan ada sebagaian file corupt. Saya rasa kapasitas tidak sesuai dgn tertera walo di cek itu yg tertera.. saya coba partisi ulang ternyata emang ia, emang yg bisa kepake hanya 270mb dari semula 8gb... yg satu lagi jadi saya pajangin aja buat hiasan dinding masih tersegel karna sudah males bukanya...baru kali ini kayanya saya agak kecewa belanja di sini..",,NEGATIF,LAZADA,22/09/2020,September,2020,,,,,,,,,,,,,,,,,,,,,
413,,,,,,,Baru pakai 3 hari hdd sudah rusak data hilang! Jangan di beli ! Tidak di rekomendasi,,NEGATIF,LAZADA,29/09/2020,September,2020,,,,,,,,,,,,,,,,,,,,,
414,,,,,,,"Tidak sesuai gambar,tidak ada obeng,dan tidak ada dompet/kantung pelindung yg ada digambar,tolong diperbaiki",,NEGATIF,LAZADA,17/10/2020,October,2020,,,,,,,,,,,,,,,,,,,,,
415,,,,,,,"Kecewa bgt,brg palsu.perlu di tindak lanjuti penipuan!!!",,NEGATIF,LAZADA,17/10/2020,October,2020,,,,,,,,,,,,,,,,,,,,,
416,,,,,,,Jangan tipu pembeli Saya beli CANVIO READY Dikirimkan CANVIO BASICS Penjual pasti tahu bedanya Sungguh kecewa,,NEGATIF,LAZADA,25/10/2020,October,2020,,,,,,,,,,,,,,,,,,,,,
417,,,,,,,barang sdh datang tp ga bs dipake. kecewa.,,NEGATIF,LAZADA,10/11/2020,November,2020,,,,,,,,,,,,,,,,,,,,,
418,,,,,,,Data dapat disimpan dengan cepat. Tapi setelan saya buka kembali data saya hilang semua. Saya kecewa,,NEGATIF,LAZADA,16/11/2020,November,2020,,,,,,,,,,,,,,,,,,,,,
419,,,,,,,ga bisa conect ke laptop saya. kecewa,,NEGATIF,LAZADA,18/11/2020,November,2020,,,,,,,,,,,,,,,,,,,,,
420,,,,,,,dagang ini PENIPU! bilangnya USB 3.0 tau2 yg dateng USB 2.0! harganya mahal lagi!,,NEGATIF,LAZADA,28/11/2020,November,2020,,,,,,,,,,,,,,,,,,,,,
421,,,,,,,Ga bisa dipakai...,,NEGATIF,LAZADA,15/12/2020,December,2020,,,,,,,,,,,,,,,,,,,,,
422,,,,,,,"flashdisk tidak berfungsi sempurna,, loading terus dan data jadi tidak bisa terbuka. agak kecewa.",,NEGATIF,LAZADA,15/12/2020,December,2020,,,,,,,,,,,,,,,,,,,,,
423,,,,,,,Jelek,,NEGATIF,LAZADA,19/12/2020,December,2020,,,,,,,,,,,,,,,,,,,,,
424,,,,,,,barang kw,,NEGATIF,LAZADA,05/02/2021,February,2021,,,,,,,,,,,,,,,,,,,,,
425,,,,,,,"Saya order dr tanggal 25. Sampe skrng statusnya masih ""sedang diproses"". sampe kapan saya nunggu???",,NEGATIF,LAZADA,31/01/2021,January,2021,,,,,,,,,,,,,,,,,,,,,
426,,,,,,,Pesanan gak datang2,,NEGATIF,LAZADA,21/03/2021,March,2021,,,,,,,,,,,,,,,,,,,,,
427,,,,,,,mau pesan takut gak nyampe...,,NEGATIF,LAZADA,23/03/2021,March,2021,,,,,,,,,,,,,,,,,,,,,
428,,,,,,,cepat sih tp ga ga trbaca suwe...,,NEGATIF,LAZADA,10/03/2021,March,2021,,,,,,,,,,,,,,,,,,,,,
429,,,,,,,"Hardisk nggak bisa di install, dan lampu power nggak nyala",,NEGATIF,LAZADA,07/01/2021,January,2021,,,,,,,,,,,,,,,,,,,,,
430,,,,,,,brg begini kok dijual ya. ampun dah. cm buat ngelabui customer.,,NEGATIF,LAZADA,19/02/2021,February,2021,,,,,,,,,,,,,,,,,,,,,
431,,,,,,,"Ada harga ada kualitas.... Banyak file yg sdh dicopy, langsung lenyap saat dibuka di laptop lain...",,NEGATIF,LAZADA,04/02/2021,February,2021,,,,,,,,,,,,,,,,,,,,,
432,,,,,,,Tampilan luar : oke.... Fungsi : error di kesempatan pertama mencoba copas file Kesimpulan : ada uang ada kualitas barang,,NEGATIF,LAZADA,24/03/2021,March,2021,,,,,,,,,,,,,,,,,,,,,
433,,,,,,,hanya bs digunakan sebentar. udh itu gak tau jd gak bs dipakek. trus tdk bs menyimpan semua file. hanya file2 tertentu yg bs disave dan diibuka kembali. kenbanyakan tdk bisa dibuka.,,NEGATIF,LAZADA,25/02/2021,February,2021,,,,,,,,,,,,,,,,,,,,,
434,,,,,,,Masih jual 64mb,,NEGATIF,LAZADA,06/01/2021,January,2021,,,,,,,,,,,,,,,,,,,,,
435,,,,,,,Sudah 1 minggu belum nyampe barangnya.,,NEGATIF,LAZADA,29/04/2021,April,2021,,,,,,,,,,,,,,,,,,,,,
436,,,,,,,Pengiriman tidak sesuai tanggal yang tertera,,NEGATIF,LAZADA,04/01/2021,January,2021,,,,,,,,,,,,,,,,,,,,,
437,,,,,,,"Kaget Pertama kali ngembuka dan mengangnya, sangat ringan dan dimensinya lebih tipis dari yang sebelumnya, dan pacingnya rentang cm dibalut babble wrap + bungkus amplo kuning yang di lakban, beda dengan punya saya yang sebelumnnya (kapasitas sm 2 Tb), sy sempat ragu akan keasliaan ini produk, dan saya cek di transcend-info.com , ternyata asli, dan ter tekam warna kapaitas + Garansinya hingga 2021, hampir kecewa awalnya, karena bentuk kotanya juga sudah penyok"" dan kotak bagian bawahnya sudah ke terkelopek baiagan kirinya, tp ada kartunama penjualnya, sy langsung hub via wa, dan menanyakan maslah kartu garansi yang gk ada dipaket pembelian, katanya sih, utk klaim ckp bukti nota pembelian + unit utk bonus nya lumayan, 16 gb, sm poch, dan headsetnya gk gunan, wkwkwkwkw keseluaruan sya lumayan puas semoga ditungkatkan lagi",,NEGATIF,LAZADA,12/01/2021,January,2021,,,,,,,,,,,,,,,,,,,,,
438,,,,,,,Barangnya lama sekali,,NEGATIF,LAZADA,01/02/2021,February,2021,,,,,,,,,,,,,,,,,,,,,
439,,,,,,,Sangat kecewa gak sesuai gambar,,NEGATIF,LAZADA,15/02/2021,February,2021,,,,,,,,,,,,,,,,,,,,,
440,,,,,,,"Saya pesan warna hitam, yang datang warna putih. kecewa. gak sesuai ekspektasi",,NEGATIF,LAZADA,24/02/2021,February,2021,,,,,,,,,,,,,,,,,,,,,
441,,,,,,,kecewa . barang saya terima dalam kondisi pecah layarnya.,,NEGATIF,LAZADA,26/02/2021,February,2021,,,,,,,,,,,,,,,,,,,,,
442,,,,,,,"kecewa,sdh sy terima brgnya..tadi gk yakin dgn hrg segitu Rp 90.800 plus dpt bonus kabel OTG..sdgkan hrg dipasaran sekitar 120an ribu..tidak sesuai! Baru skrg sy belanja di Lazada dpt barang rongsokan",,NEGATIF,LAZADA,11/03/2021,March,2021,,,,,,,,,,,,,,,,,,,,,
443,,,,,,,kulaitas bagus.cm kecewa ama pengiriman nya sangat amat lama..!! thx,,NEGATIF,LAZADA,30/03/2021,March,2021,,,,,,,,,,,,,,,,,,,,,
444,,,,,,,Produk tidak respon dilaptop. space 0 bytes. saya sangat kecewa.,,NEGATIF,LAZADA,24/04/2021,April,2021,,,,,,,,,,,,,,,,,,,,,
445,,,,,,,"Pengiriman lama. pada estimasi sebelumnya akan sampai hari senin 04 Feb '19 tapi ada notif pesanan di batalkan, kemudian pesanan berubah schedule pengiriman tgl 05-09 Feb '19. Dan sampainya PAS hari sabtu 09 Feb '19. Review barang. saya beli yg 16GB free 8GB. tapi sayang 16GB sudah di pakai, dan di dalamnya sudah ada isi photo orang yang lagi sidang skripsi ""Ini serius mau jualan ?"" dan yg buat kecewa selain pengiriman lama dn berubah status isi 16GB yg sudah terpakai tersebut bila di format hanya 3.89GB. ini serius beli 16GB yg d dapat cmn 3.89GB. Lazada tolonglah di bantu mengenai seler sprti ini. kita bukan cuman sekedar cari murah tapi jg kualitas.",,NEGATIF,LAZADA,26/04/2021,April,2021,,,,,,,,,,,,,,,,,,,,,
446,,,,,,,Saya menerima pouch ukuran 3.5 bukan 2.5. Kecewa...,,NEGATIF,LAZADA,27/04/2021,April,2021,,,,,,,,,,,,,,,,,,,,,
447,,,,,,,baru 10 bulan layarnya dah bergaris,,NEGATIF,LAZADA,29/04/2021,April,2021,,,,,,,,,,,,,,,,,,,,,
448,,,,,,,"barang sudah sampai, dan tidak bisa di gunakan, sungguh kecewa mau refund pasti ribet",,NEGATIF,LAZADA,29/04/2021,April,2021,,,,,,,,,,,,,,,,,,,,,
449,,,,,,,Udah di tunggu2 belom sampe juga udah lewat extimasi mending an di kirim sama kurir LEX dari pada pos Indonesia udah di kasih no resi salah lagi KECEWA,,NEGATIF,LAZADA,30/04/2021,April,2021,,,,,,,,,,,,,,,,,,,,,
450,,,,,,,g bs dipakai. sangat kecewa,,NEGATIF,LAZADA,22/05/2021,May,2021,,,,,,,,,,,,,,,,,,,,,
451,,,,,,,Saya pesan uang sdah d transfer tapi barng tdk sampai,,NEGATIF,LAZADA,03/05/2021,May,2021,,,,,,,,,,,,,,,,,,,,,
452,,,,,,,Kecewa 1 rusak,,NEGATIF,LAZADA,08/05/2021,May,2021,,,,,,,,,,,,,,,,,,,,,
453,,,,,,,pesanan yg saya terima hanya case hardisk usb obeng dan sekrup saja .. tidak sesuai dengan judul iklannya.. dan saya sudah mengajukan pengembalian dana sesuai respon pelapak trimakasih,,NEGATIF,LAZADA,10/05/2021,May,2021,,,,,,,,,,,,,,,,,,,,,
454,,,,,,,"pesan barang Dari tgl 12 Feb 2017, sampai detik ini barang tidak di terima, di email no resi Dakota tapi link email yg dikirim tidak bisa diakses error terus, kompalin ke lazada via live chat via customer care semua menyampaikan akan di konfirmasi via email tapi sampai detik INI pun tidak Ada email masuk sy terima dari lazada, tidak tanggap Dalam menangani komplain customer tdk spt olshop lain yg cpt menanggapi kalau Ada keluhan jd customer merasa dibantu, sy beli barang bermaksud bwt hadiah malah jadi sia2, lokasi saya hanya do bogor masa seminggu ga sampai2 pengiriman Darimana? Dari Papua? kendala Ada dimana tolong donk dijelaskan!!! bukannya dibiarkan menunggu Tanpa Ada kejelasan!!!! KECEWA !!!",,NEGATIF,LAZADA,11/05/2021,May,2021,,,,,,,,,,,,,,,,,,,,,
455,,,,,,,"Kecewa, flashdiskny ga bisa diformat ke NTFS + copy file gede corrupt, mw jdiin bootable windows eh detect ny bkn 32gb malah jadi 33gb -_- abal nih fd kekny...",,NEGATIF,LAZADA,14/05/2021,May,2021,,,,,,,,,,,,,,,,,,,,,
456,,,,,,,"Deskripsinya toshiba canvio basic,, namun yang datang toshiba canvio ready jadi berbeda type,, agak kecewa",,NEGATIF,LAZADA,16/05/2021,May,2021,,,,,,,,,,,,,,,,,,,,,
457,,,,,,,"produk jauh dari yang diharapkan, sangat kecewa.",,NEGATIF,LAZADA,02/06/2021,June,2021,,,,,,,,,,,,,,,,,,,,,
458,,,,,,,"KECEWA! sebelum pesan sudah saya tanya dulu kepada seller ini untuk make sure apakah benar beli flashdisk akan dapat kabel otg dan powerbank! KATANYA IYA! TAPI NYATANYA! ketika barang datang yang ada hanya flashdisk dan kabel otg! POWERBANKNYA TIDAK ADA! Setelah itu saya follow up menanyakan powerbanknya ,katanya akan dikirim dan selang berapa hari kemudian bilang powerbanknya sudah dikirim! TAPI SUDAH SEMINGGU LEBIH SAYA TUNGGU NAMUN POWERBANKNYA BELUM DATANG JUGA! PADAHAL POSISI PENJUAL DI JAKARTA JUGA ,MASA KIRIM DALAM KOTA SEMINGGU LEBIH??? saya chat seller ini namun hanya di baca saja sudah gitu responnya lama... NOT RECOMMENDED! KECEWA TAPI SUDAH SAYA IKHLASKAN SAJA.. TERIMA KASIH",,NEGATIF,LAZADA,09/06/2021,June,2021,,,,,,,,,,,,,,,,,,,,,
459,,,,,,,"kecewa sama flashdisknya kapasitasnya berkurang 2,8 GB udah gitu gak konek ke otg ... gimana ini ?? saya minta kembali aja uang nya buat apa mahal""tapi gk konek ke otg",,NEGATIF,LAZADA,12/06/2021,June,2021,,,,,,,,,,,,,,,,,,,,,
460,,,,,,,kesimpulan kecewa,,NEGATIF,LAZADA,19/06/2021,June,2021,,,,,,,,,,,,,,,,,,,,,
461,,,,,,,"mohon maaf,, knapa fd ini kok mau copy file 1,5gb di fd langsung corrupt... pdhl file saya copy enggk corupt tuh . dan kalau mau eject gk ada tulisan merk ""toshiba"" atau ""transcend"" ini kok ""Flash Disk""... kecewa saya pdhl fd nya 16 gb tpi copy file 1 gb lebih tdk bsa...",,NEGATIF,LAZADA,22/06/2021,June,2021,,,,,,,,,,,,,,,,,,,,,
462,,,,,,,flash diak rusak kecewa saya,,NEGATIF,LAZADA,02/07/2021,July,2021,,,,,,,,,,,,,,,,,,,,,
463,,,,,,,"Baru kali ini kecewa dg lazada. Pertama saya pesan antar pakai gojek dan ternyata barang 3 hri baru sampai. Kedua saya pesan yg model atm mandiri tp yg datang BCA, ketiga setelah saya gunakan ternyata flasdisk tidak bisa digunakan.. Sangat sangat kecewa..",,NEGATIF,LAZADA,09/07/2021,July,2021,,,,,,,,,,,,,,,,,,,,,
464,,,,,,,kecewa gk bisa di pakai buang buang duit,,NEGATIF,LAZADA,16/07/2021,July,2021,,,,,,,,,,,,,,,,,,,,,
465,,,,,,,fisik dalam tidak memakai Hdd toshiba tapi memakai Hdd Hitachi size cocok 2T.. sedikit kecewa.. soal fisiknya yng g pakai Hdd Toshiba dan Harganya sekarang itu loh kok malah diturunkan,,NEGATIF,LAZADA,24/07/2021,July,2021,,,,,,,,,,,,,,,,,,,,,
466,,,,,,,Pengiriman super lama.. tapi datang juga sich,,NEGATIF,LAZADA,06/08/2021,August,2021,,,,,,,,,,,,,,,,,,,,,
467,,,,,,,"Barang datang 2 hari akan tetapi tidak dapat di gunakan, saya sudah coba berkali2 ke hardisk yg lain ttp tidak bisa di gunakan. Saya sangat kecewa!!!!",,NEGATIF,LAZADA,18/08/2021,August,2021,,,,,,,,,,,,,,,,,,,,,
468,,,,,,,"jgn berjualan klo tidak detail tentang barangnya yang ada lazada membuat costemer kecewa, klo tidak jelas apa yg dijual dilazada",,NEGATIF,LAZADA,28/08/2021,August,2021,,,,,,,,,,,,,,,,,,,,,
469,,,,,,,"Kurang puas dengan pengiriman Barang melalui ESL EXPRESS, karena pengiriman Dari jakrta harus transit ke Palembang. tidak langsung ke bengkulu. jadi agak lama sampai.",,NEGATIF,LAZADA,04/09/2021,September,2021,,,,,,,,,,,,,,,,,,,,,
470,,,,,,,"masa flashdisknya error, gimana dong. tuker bisa gaa? aku kecewa banget",,NEGATIF,LAZADA,05/09/2021,September,2021,,,,,,,,,,,,,,,,,,,,,
471,,,,,,,"sumpah kecewa banget sama lazada, baru kemarin beli flashdisk, ini dipakai buat copy, tpi filenya gk muncul, cuma shortcutnya doang, gak sebanding dngn harganya yng mahal,",,NEGATIF,LAZADA,06/09/2021,September,2021,,,,,,,,,,,,,,,,,,,,,
472,,,,,,,"Barang sudah diterima,sesuai estimasi waktu, bagus bahannya semoga awet..tetapi yg saya terima warnanya biru,sedangkan yg saya pesan warna merah. Agak kecewa sih, tp gapapa, terimakasih lazada dan seller",,NEGATIF,LAZADA,07/09/2021,September,2021,,,,,,,,,,,,,,,,,,,,,
473,,,,,,,"barang lumayan tapi kecewa dengan pengirimanya pesen jum'at nyampenya hari senen,tlong dong bwat pengirimannya harus tepat waktu",,NEGATIF,LAZADA,08/09/2021,September,2021,,,,,,,,,,,,,,,,,,,,,
474,,,,,,,Pesan tgl 8 des 2017. Pengiriman dgn Gosend. Barang sampai dgn hari ini belum saya terima (blm sampai) dan anehnya distatus pengirimannya barang sdh diterima. Anehnya lagi pada status tsb jam order sampai dgn jam barang terkirim ngawurrr... sdh mencoba menghubungi seller tp sama sekali tdk ada response. Mencoba menghubungi lazada juga jawabannya standart tanpa ada solusi yg jelas. Bener2 kecewa dan merasa tertipu!!!!!!!,,NEGATIF,LAZADA,09/09/2021,September,2021,,,,,,,,,,,,,,,,,,,,,
475,,,,,,,"Pengiriman lama, warna yang dateng putih bukan hitam",,NEGATIF,LAZADA,11/09/2021,September,2021,,,,,,,,,,,,,,,,,,,,,
476,,,,,,,flasdisk tidak terbaca..sangat kecewa,,NEGATIF,LAZADA,17/09/2021,September,2021,,,,,,,,,,,,,,,,,,,,,
477,,,,,,,"Flashdisk saat dicopy file yg kebaca setengah doang, ud mana beli 2, saya tertipu pantes g garansi, hati hati untuk yg mau beli",,NEGATIF,LAZADA,13/10/2021,October,2021,,,,,,,,,,,,,,,,,,,,,
478,,,,,,,barang tidak sesuai dengan iklan.. yg di pajang 32gb.. yang datang 16gb.. saya sangat kecewa dengan seller ini.. tidak di rekomendasikan untuk beli disini,,NEGATIF,LAZADA,16/10/2021,October,2021,,,,,,,,,,,,,,,,,,,,,
479,,,,,,,Kok gabisa dicolokin ke hp?? gamasuk. kecewa ah tampilan doang bagus,,NEGATIF,LAZADA,21/10/2021,October,2021,,,,,,,,,,,,,,,,,,,,,
480,,,,,,,"kecewa dengan pelayanannya, pesanan sameday tapi ngak diantar, dan gk ada kontak kurir dan toko",,NEGATIF,LAZADA,25/10/2021,October,2021,,,,,,,,,,,,,,,,,,,,,
481,,,,,,,katanya mau mau nonton film dengar musik tinggal colok usb. ternyata usbnya buat service only. penipuan ini namanya. saya mau lomplen ahh. soalnya tujuan saya beli tv ini untuk saya nonton film melalui usb. kecewa saya,,NEGATIF,LAZADA,10/11/2021,November,2021,,,,,,,,,,,,,,,,,,,,,
482,,,,,,,"MENGECEWAKAN Saya beli CANVIO READY Dikirimkan CANVIO BASICS Penjual pasti tahu bedanya, beda harga beda fitur Sungguh kecewa",,NEGATIF,LAZADA,11/11/2021,November,2021,,,,,,,,,,,,,,,,,,,,,
483,,,,,,,"Kenapa chargernya tidak lengkap....?? G bisa langsung dipakai buat charger..., kita harus nyari dan beli lagi sambungan buat chargernya.., tolong d bantu",,NEGATIF,LAZADA,14/11/2021,November,2021,,,,,,,,,,,,,,,,,,,,,
484,,,,,,,"Barang sesuai pesanan, tapi sedikit kecewa dengan pengiriman, pesan tgl 14 dan smpe tanggal 23. Setelah di Test Ok ngk ada masalah, kecepatan membaca dan menulis file juga Mantap. Thanks ^_^",,NEGATIF,LAZADA,09/11/2022,November,2021,,,,,,,,,,,,,,,,,,,,,
485,,,,,,,"PESANAN GA SESUAI BARANG,MESAN SONY 8GB KENPA YG DIKIRIM TOSHIBA 8GB.. SANGAT KECEWA,CUMA MAU UNTUNGNTYA DOANG NIH YG DAGANG",,NEGATIF,LAZADA,14/12/2021,December,2021,,,,,,,,,,,,,,,,,,,,,
486,,,,,,,"Kecewa,,smua fto yg aq msukin gk bsa d bca pdhl fto pnting tntg prawed,muncul dsaat buka stlh di open with file tdk di dukung..hlng smua fto2q gara2 UsB ni smuqa komputer kena virus dan mrmbet ke USB yg lain,palsu",,NEGATIF,LAZADA,22/12/2021,December,2021,,,,,,,,,,,,,,,,,,,,,
487,,,,,,,Jangan sampai beli seller penipu lagi kurang stabil otaknya sudah banyak jadi korban ditolak alasan stock habis,,NEGATIF,LAZADA,22/02/2022,February,2022,,,,,,,,,,,,,,,,,,,,,
488,,,,,,,Kecewa sama pihak lazada. Pengiriman melewati jauh estimsi waktu sampai 15 hari. Pihak lazada telah membatalkan melalui email sehingga saya memesan kembali malahan yang datang 2 produk. Semakin lama semakin buruk lazada,,NEGATIF,LAZADA,23/02/2022,February,2022,,,,,,,,,,,,,,,,,,,,,
489,,,,,,,"barang tanpa kemasan, tanpa pelindung apapun, hanya dus tv saja, liat dusnya sobek dikit sudah mulai curiga, kayaknya pecah ini, eeeeellllaaaa pas dibuka pecah beneran, BAD SELLER, BENER BENER BAD SELLER MAU UNTUNG AJA, tanpa peduli keadaan produk , kalo gak ada untung n pelit pakingan ya jgn jualan ....barang sudah retur , mudah mudahan barangnya cepat di kirim lg d",,NEGATIF,LAZADA,24/02/2022,February,2022,,,,,,,,,,,,,,,,,,,,,
490,,,,,,,rusak gk bisa dipakai kapok,,NEGATIF,LAZADA,25/02/2022,February,2022,,,,,,,,,,,,,,,,,,,,,
491,,,,,,,Barang udah sampai tapi pas dinyalain g bisa. Gmn pertanggung jawaban lazada?,,NEGATIF,LAZADA,16/01/2022,January,2022,,,,,,,,,,,,,,,,,,,,,
492,,,,,,,"jelek banget, bener2 kecewa. fd nya corrupt. gabisa mindahin file. baru kali ini kecewa beli dilazada.",,NEGATIF,LAZADA,04/02/2022,February,2022,,,,,,,,,,,,,,,,,,,,,
493,,,,,,,kampret kaga kebaca!!,,NEGATIF,LAZADA,14/02/2022,February,2022,,,,,,,,,,,,,,,,,,,,,
494,,,,,,,"korup terus klo di copy ke fd,mengecewakan",,NEGATIF,LAZADA,17/02/2022,February,2022,,,,,,,,,,,,,,,,,,,,,
495,,,,,,,Kecewa deh hadeh,,NEGATIF,LAZADA,19/02/2022,February,2022,,,,,,,,,,,,,,,,,,,,,
496,,,,,,,kecewa flashdisc gk bisa dipakai..blm apa2 sdh minta diformat dan kapasitas memory cuma 8.00 mb..gan sebelum dikirim pastikan dulu barangny bgs bisa dipakai,,NEGATIF,LAZADA,25/02/2022,February,2022,,,,,,,,,,,,,,,,,,,,,
497,,,,,,,sangat mengecewakan mas bro dua kali saya beli dan dua2nya ga kepake plasdisk HPnya korut dua duanya KECEWA TUJUH TURUNAN saya,,NEGATIF,LAZADA,15/03/2022,March,2022,,,,,,,,,,,,,,,,,,,,,
498,,,,,,,Saya sangat2 kecewa banget kenapa sih udah di tranfer malah di batalin barang nya gmn sih lazada...,,NEGATIF,LAZADA,30/03/2022,March,2022,,,,,,,,,,,,,,,,,,,,,
499,,,,,,,"gambar tidak bagus dan ada merah2, pada layar, saya sandingkan dengan produk lain, supaya kelihatan perbedaanya, ternyata emang benar tv 24inch sharpnya gak beres, kecewa. pengen di minta tukar baru",,NEGATIF,LAZADA,07/04/2022,April,2022,,,,,,,,,,,,,,,,,,,,,
500,,,,,,,Saya pesen yg 16gb tapi yang saya terima 4gb mohon tanggung jawabnya saya kecewa banget pesanan dr 16gb jd 4gb jauh banget bedanya....,,NEGATIF,LAZADA,17/04/2022,April,2022,,,,,,,,,,,,,,,,,,,,,
501,,,,,,,"pengiriman cepat, komplit, sama sesuai yg di tulis, tpi sdikit kecewa karena warna yg saya pesen nggak sesuai sama yg datang.",,NEGATIF,LAZADA,28/04/2022,April,2022,,,,,,,,,,,,,,,,,,,,,
502,,,,,,,"Harga turun, akan tetapi pembayara tetap, pelanggan akan merasa sedikit kecewa.",,NEGATIF,LAZADA,07/05/2022,May,2022,,,,,,,,,,,,,,,,,,,,,
503,,,,,,,Setelah nunggu proses pengiriman terlambat 1 minggu tau2 dibatalkan stock tdk ada.. Promonya ga jelas!!!,,NEGATIF,LAZADA,28/05/2022,May,2022,,,,,,,,,,,,,,,,,,,,,
504,,,,,,,Paaaaaaarah,,NEGATIF,LAZADA,30/05/2022,May,2022,,,,,,,,,,,,,,,,,,,,,
505,,,,,,,"KRN PESANAN TDK SESUAI DENGAN KIRIMANNYA ,DR WARNA SAJA SAYA PESAN HITAM DIKIRM PUTIH DAN TIDAK BISA DIPAKAI DI LABTOP ANAK SAYA . SEHARUSNYA TIDAH SEPERTI ITU YAH",,NEGATIF,LAZADA,02/06/2022,June,2022,,,,,,,,,,,,,,,,,,,,,
506,,,,,,,"Flashdisk tidak bisa di gunakan semuanya rusak. Penipu, bangsat. Jangan kalian beli lagi diperjuangkan ini. KECEWA. BELI 4 SEMUANYA RUSAK.",,NEGATIF,LAZADA,04/06/2022,June,2022,,,,,,,,,,,,,,,,,,,,,
507,,,,,,,"Barang jelek, saya ditipu",,NEGATIF,LAZADA,29/07/2022,July,2022,,,,,,,,,,,,,,,,,,,,,
508,,,,,,,"kecewa, tidak berfungsi",,NEGATIF,LAZADA,02/08/2022,August,2022,,,,,,,,,,,,,,,,,,,,,
509,,,,,,,"kenapa seller abal2 bisa di lazada, mengurangi kepercayaan pada lazada..",,NEGATIF,LAZADA,12/08/2022,August,2022,,,,,,,,,,,,,,,,,,,,,
510,,,,,,,kecewa alias barang aspal ya lumayan buat isi mp3 sih banyak lagunya,,NEGATIF,LAZADA,13/08/2022,August,2022,,,,,,,,,,,,,,,,,,,,,
